FALLBACK: Unknown VHS.|Good taste.
NANNY-AND-ISAIAH-ADVENTURES-THE-SECRET-OF0THE-SECOND-BASEMENT: Nanny And Isaiah Adventures The Secret Of0The Second Basement.|Christian kids adventures.
NANNY-AND-ISAIAH-ADVENTURES-THE-WINNING-COMBINATION: Nanny And Isaiah Adventures The Winning Combination.|Same series. Second tape.
NEON-MANIACS-VIDEO-FOR-PLEASURE: Neon Maniacs Video For Pleasure.|Horror. Monsters under the Golden Gate Bridge.
NEW-GIRL: New Girl.|Not the TV show. Something older.
NEW-KIDS-ON-THE-BLOCK-CARTOON-SHEIK-OF-MY-DREAMS: New Kids On The Block Cartoon Sheik Of My Dreams.|NKOTB cartoon. This exists.
New-Kids-on-The-Block-Step-By-Step: New Kids On The Block Step By Step.|NKOTB music video tape. The height of their fame.
NICKELODEON-FRIENDS-VARIETY-PACK: Nickelodeon Friends Variety Pack.|Nickelodeon compilation. Good for Saturday mornings.
NIGHT-OF-THE-SHARKS: Night Of The Sharks.|Spanish thriller. Treat Williams.
NIKITA: Nikita.|Luc Besson. Female assassin. Great film.
NINJA-3-THE-DOMINATION: Ninja 3 The Domination.|Ninja possesses an aerobics instructor. Peak eighties.
NINJA-COMMANDOS: Ninja Commandos.|Ninjas commanding things.
NINJA-KIDS: Ninja Kids.|Young ninjas. Adorable and deadly.
NINJA-TERMINATOR: Ninja Terminator.|Richard Harrison. Two plots stapled together. Incredible.
NINJA-TURF: Ninja Turf.|Street gangs and ninjas. Los Angeles.
NINJA-USA: Ninja Usa.|American ninja. Doing ninja things. In America.
NINJA-VENGEANCE: Ninja Vengeance.|The vengeance of the ninja.
NINJA-WARS-AND-NINJA-TERMINATOR-DOUBLE-FEATURE: Ninja Wars And Ninja Terminator Double Feature.|Two ninja films. Double value.
NINJAS-EXTREME-WEAPONS: Ninjas Extreme Weapons.|The weapons are extreme. The ninjas are into it.
NINTENDO-GAME-PLAYERS-GAMETAPE-VOL-1-NO-6: Nintendo Game Players Gametape Vol 1 No 6.|Game tips on VHS. Pre-internet walkthrough.
NOOZLES-BLINKY-AND-PINKYS-EXCELLENT-ADVENTURE: Noozles Blinky And Pinkys Excellent Adventure.|Koala cartoon. Wholesome.
NOT-QUITE-HUMAN: Not Quite Human.|Disney Channel android kid. Pretty charming.
NURSERY-RHYMES: Nursery Rhymes.|Nursery rhymes. Classic.
NUZZLING-WITH-THE-NOOZLES-A-MAGICAL-ADVENTURE: Nuzzling With The Noozles A Magical Adventure.|More Noozles adventures.
OANO-DO-TIGRE: Oano Do Tigre.|Year of the Tiger in Portuguese. Martial arts.
ODD-COUPLE-KUNG-FU: Odd Couple Kung Fu.|Two styles. One fight. Odd couple setup.
OMEGA-COP: Omega Cop.|Post-apocalypse cop. Ron Marchini. Very low budget.
OMEGA-DOOM: Omega Doom.|Rutger Hauer as a robot. Pretty stylish actually.
ONE-ARMED-EXECUTIONER: One Armed Executioner.|Filipino revenge film. Exactly as described.
ONE-DOWN-TWO-TO-GO: One Down Two To Go.|Fred Williamson. Jim Brown. Jim Kelly. Richard Roundtree. The dream team.
OPERATION-DUMBO-DROP: Operation Dumbo Drop.|Danny DeVito drops an elephant into Vietnam. This is a real movie.
OPERATION-PARATROOPER: Operation Paratrooper.|WWII stuff. Paratroopers drop in.
OPERATION-SCORPIO: Operation Scorpio.|David Carradine. Decent.
OPERATION-WARBUS: Operation Warbus.|Bus in a war zone. Filipino action.
ORIGINAL-FLIPPER-SERIES-SHARK-HUNT-AND-AGENT-BUD: Original Flipper Series Shark Hunt And Agent Bud.|Flipper the dolphin. Two episodes.
ORIONS-BELT: Orions Belt.|Norwegian thriller. Cold War. Very tense.
OSA: Osa.|Spanish action. Never heard of it.
OTHELLO-THE-BLACK-COMMANDO: Othello The Black Commando.|Othello in an action setting. Creative adaptation.
OVER-THE-TOP: Over The Top.|Stallone arm wrestles for custody. God bless America.
PEE-WEES-PLAYHOUSE-ICE-CREAM-SOUP: Pee Wees Playhouse Ice Cream Soup.|Pee-Wee's Playhouse. Miss this show.
PEE-WEES-PLAYHOUSE-LUAU-FOR-TWO: Pee Wees Playhouse Luau For Two.|Luau episode. Same vibe.
PENITENTIARY-3: Penitentiary 3.|Third film. Still in the penitentiary. Still fighting.
PENTATHLON-DOLPH-LUNDGREN: Pentathlon Dolph Lundgren.|Dolph Lundgren. Five events. One film.
PETER-LUNDY-AND-THE-MEDICINE-HAT-STALLION: Peter Lundy And The Medicine Hat Stallion.|Pony Express. Leif Garrett. Good horse movie.
PHANTOM-SOLDIERS: Phantom Soldiers.|Vietnam ghost soldiers. Filipino production.
PINOCCHIO-WALT-DISNEY-THE-CLASSICS: Pinocchio Walt Disney The Classics.|Pinocchio. One of the best Disney films.
PIPPI-ON-THE-RUN-PIPPI-LONGSTOCKING: Pippi On The Run Pippi Longstocking.|Pippi Longstocking runs somewhere. Classic.
PLATOON-LEADER: Platoon Leader.|Michael Dudikoff in Vietnam. Not the Oliver Stone one.
POKEMON-THE-FIRST-MOVIE: Pokemon The First Movie.|Mewtwo. The kids lost their minds for this one.
POLICE-ACADEMY-THE-ANIMATED-SERIES-VOLUME-2: Police Academy The Animated Series Volume 2.|Cartoon Police Academy. Minus the good stuff.
POPEYE-MEETS-SINBAD-THE-SAILOR: Popeye Meets Sinbad The Sailor.|Classic Fleischer Studios. One of the great cartoons.
POPPLES-TREASURE-OF-POPPLE-BEACH: Popples Treasure Of Popple Beach.|Popples at the beach. For kids.
POTATO-HEAD-KIDS-VOLUME-1: Potato Head Kids Volume 1.|Mr. Potato Head as a kid. Sure.
POWER-FORCE: Power Force.|Action. Power. Force. Covers the bases.
PRAYING-MANTIS: Praying Mantis.|Style of kung fu. Good title.
PRECIOUS-MOMENTS-FOUNTAIN-OF-ANGELS: Precious Moments Fountain Of Angels.|Christian animated. Very gentle.
PRECIOUS-MOMENTS-PRESENTS-TIMMYS-SPECIAL-DELIVERY: Precious Moments Presents Timmys Special Delivery.|Same series. Timmy delivers something.
PREDATOR: Predator.|One of the best action films ever made. Period.
PSALTYS-FUNTASTIC-PRAISE-PARTY: Psaltys Funtastic Praise Party.|Christian kids music. Psalty the Singing Songbook.
PUFF-THE-MAGIC-DRAGON: Puff The Magic Dragon.|Animated. Much less controversial than the song.
PUSS-N-BOOTS-TRAVELS-AROUND-THE-WORLD: Puss N Boots Travels Around The World.|Puss in Boots sees the world. Japanese animation.
PYTHON: Python.|Killer python. Low budget but fun.
QUACK-PACK-ALIEN-ATTACK: Quack Pack Alien Attack.|DuckTales spinoff. Donald's nephews, older now.
QUARK-THE-DRAGON-SLAYER: Quark The Dragon Slayer.|Animated dragon slaying.
RAGGEDY-ANN-AND-FRIENDS: Raggedy Ann And Friends.|Raggedy Ann. Classic cloth doll animated.
RAID-ON-ENTEBBE: Raid On Entebbe.|The real Entebbe operation. Docudrama.
RAMBO-3: Rambo 3.|Rambo in Afghanistan. Time has made this complicated.
RAMBO-CARTOON-SAVAGE-ISLAND: Rambo Cartoon Savage Island.|Cartoon Rambo. Rambo had a cartoon.
RAMBOS-REVENGE: Rambos Revenge.|Not actually Rambo. Sort of a knockoff situation.
RAND-MCNALLY-VIDEO-TRIP-THE-BLACK-HILLS: Rand Mcnally Video Trip The Black Hills.|Road trip documentary. For families.
RANDY-THE-MACHO-MAN-SAVAGE-THE-MISSING-MATCHES: Randy The Macho Man Savage The Missing Matches.|Macho Man. Ohhh yeah.
RAW-DEAL: Raw Deal.|Schwarzenegger. Undercover in the mob. Very good.
RAW-FORCE: Raw Force.|Kung Fu Island. Cannibals. Ninjas. You're welcome.
RED-FORCE-2-CYNTHIA-ROTHROCK-MICHELLE-KHAN: Red Force 2 Cynthia Rothrock Michelle Khan.|Rothrock and Khan. Two legends.
RED-FORCE-3-CYNTHIA-KHAN: Red Force 3 Cynthia Khan.|Cynthia Khan carries the third one herself.
RED-SCORPION: Red Scorpion.|Dolph Lundgren. Cold War action. Decent.
RED-SONJA: Red Sonja.|Brigitte Nielsen. Arnold in there too. Sword and sandal.
REDNECK-COUNTY: Redneck County.|Seventies backwoods. Not subtle.
REMEMBERING-PEARL-HARBOR-THE-STORY-OF-THE-USS-ARIZONA-MEMORIAL: Remembering Pearl Harbor The Story Of The Uss Arizona Memorial.|Historical documentary. Important one.
REN-AND-STIMPY-HAVE-YOURSELF-A-STINKY-LITTLE-CHRISTMAS: Ren And Stimpy Have Yourself A Stinky Little Christmas.|Ren and Stimpy Christmas. Disgusting and wonderful.
RESCUE-FORCE: Rescue Force.|Team rescues things. Low budget action.
RETURN-OF-RED-TIGER-BRUCE-LE: Return Of Red Tiger Bruce Le.|Bruce Le again. Red Tiger returns.
RETURN-OF-THE-TIGER: Return Of The Tiger.|More tiger returning. Kung fu.
REVENGE-OF-THE-GODFATHER: Revenge Of The Godfather.|Italian crime follow-up.
REVENGE-OF-THE-MERCENARIES: Revenge Of The Mercenaries.|Mercenaries getting revenge. Classic structure.
REVENGE-OF-THE-NINJA: Revenge Of The Ninja.|Sho Kosugi. One of the best ninja films.
RICHARD-SCARRYS-A-GOLDEN-BOOK-VIDEO: Richard Scarrys A Golden Book Video.|Richard Scarry. Busytown. Timeless.
RIDING-THE-EDGE: Riding The Edge.|Motocross. Thriller. Eighties.
RING-OF-STEEL: Ring Of Steel.|Sword fighting competition. Pretty solid.
RIVALS: Rivals.|Competition. Never heard of this specific one.
RIVALS-BRIDGESTONE-MULTIMEDIA: Rivals Bridgestone Multimedia.|Different label. Same movie maybe.
RIVERS-EDGE: Rivers Edge.|Dark teen drama. Keanu Reeves. Dennis Hopper. Very heavy.
ROAD-GAMES: Road Games.|Australian thriller. Richard Franklin. Stacy Keach. Great film.
ROAD-WARRIORS-TAG-TEAM-CHAMPS: Road Warriors Tag Team Champs.|The Road Warriors. Hawk and Animal. Legends.
ROAR: Roar.|Real lions. Real danger. No training. Tippi Hedren. Insane movie.
ROBBERS-OF-SACRED-MOUNTAIN: Robbers Of Sacred Mountain.|Adventure film. Sacred mountain full of robbers apparently.
ROBIN-HOOD-MAKES-GOOD: Robin Hood Makes Good.|Bugs Bunny as Robin Hood. Old cartoon.
ROBO-FORMERS-STAR-OF-FEAR: Robo Formers Star Of Fear.|Transformers knockoff cartoon.
ROBOCOP: Robocop.|Paul Verhoeven. Essential viewing. Detroit never recovered.
ROBOCOP-CARTOON-A-ROBOTS-REVENGE: Robocop Cartoon A Robots Revenge.|Robocop the cartoon. Less ultraviolent.
ROBOTECH-VOLUME-1: Robotech Volume 1.|Start here. One of the great sci-fi anime.
ROBOWAR: Robowar.|Italian Predator knockoff. More fun than it has any right to be.
ROLLING-VENGEANCE: Rolling Vengeance.|Revenge via monster truck. The eighties, man.
ROME-2033-THE-FIGHTER-CENTURIONS: Rome 2033 The Fighter Centurions.|Italian sci-fi. Future gladiators.
ROOFTOPS-IVE-ENTERTAINMENT: Rooftops Ive Entertainment.|Dance fighting on rooftops. New York.
RUDOLPH-AND-THE-ISLAND-OF-MISFIT-TOYS: Rudolph And The Island Of Misfit Toys.|New Rudolph CGI special.
RUDOLPH-THE-RED-NOSED-REINDEER-THE-MOVIE: Rudolph The Red Nosed Reindeer The Movie.|The 1998 movie. Different from the special.
RUDOLPHS-SHINY-NEW-YEAR: Rudolphs Shiny New Year.|Sequel to Rudolph. Father Time shows up.
RUGRATS-A-BABYS-GOTTA-DO-WHAT-A-BABYS-GOTTA-DO: Rugrats A Babys Gotta Do What A Babys Gotta Do.|Classic Rugrats. The babies have a philosophy.
RUGRATS-DECADE-IN-DIAPERS-NICKELODEON: Rugrats Decade In Diapers Nickelodeon.|Ten years of Rugrats. Ten years in diapers.
RUNAWAY-RALPH-ABC-KIDTIME: Runaway Ralph Abc Kidtime.|Beverly Cleary. Ralph the mouse on a motorcycle.
RUNNING-BRAVE: Running Brave.|Robby Benson as Billy Mills. Inspirational.
RUSH: Rush.|Italian crime. Gianni Garko. Very stylish.
SAFETY-4-KIDS: Safety 4 Kids.|Safety tips. For kids.
SAMURAI-REINCARNATION: Samurai Reincarnation.|Sonny Chiba. Ghosts. Wild historical fiction.
SAMURAI-REINCARNATION-SONNY-CHIBA: Samurai Reincarnation Sonny Chiba.|Same film. Chiba on the cover.
SANTA-AND-PETE: Santa And Pete.|James Earl Jones as Santa. That's a good Santa.
SANTA-AND-THE-THREE-BEARS-UAV-HOME-VIDEO: Santa And The Three Bears Uav Home Video.|Different label. Same bears.
SANTA-CLAUS-WITH-PUNCH-AND-JUDY: Santa Claus With Punch And Judy.|Old British Punch and Judy Christmas. Very strange energy.
SANTAS-CHRISTMAS-CRASH: Santas Christmas Crash.|Santa crashes something. Animated probably.
SANTAS-SURPRISE-CHRISTMAS-CLASSICS: Santas Surprise Christmas Classics.|Christmas cartoon comp.
SAVAGE-DAWN: Savage Dawn.|Post-apocalypse biker gang. Karen Black. George Kennedy. Odd cast.
SAVAGE-MUTINY: Savage Mutiny.|Jungle film. Weissmuller era stuff.
SAVAGE-STREETS: Savage Streets.|Linda Blair. Rollerskate revenge. Underrated.
SAVED-BY-THE-BELL-KING-OF-THE-HILL-AND-DANCING-TO-THE-MAX: Saved By The Bell King Of The Hill And Dancing To The Max.|Very early Saved by the Bell.
SCAMPER-THE-PENQUIN: Scamper The Penquin.|Penguin animation. Soviet actually. Very cute.
SCHOOL-HOUSE-ROCK-AMERICA-ROCK: School House Rock America Rock.|Schoolhouse Rock. I'm just a bill.
SCHOOL-HOUSE-ROCK-SCIENCE-ROCK: School House Rock Science Rock.|Science Schoolhouse Rock. Very good.
SCOOBY-DOO-2-MONSTERS-UNLEASHED: Scooby Doo 2 Monsters Unleashed.|The sequel to the live action. Fine for kids.
SCRUBBERS: Scrubbers.|British women's prison drama. Mai Zetterling directed it.
SEABERT-THE-ADVENTURE-BEGINS: Seabert The Adventure Begins.|Anti-hunting cartoon. Very earnest.
SEARCH-AND-DESTROY: Search And Destroy.|Action thriller. Heavy themes.
SECRET-EXECUTIONERS: Secret Executioners.|Never heard of that one.
SECRET-OF-TREASURE-MOUNTAIN: Secret Of Treasure Mountain.|Adventure for kids. Treasure in a mountain.
SERGEANT-PRESTON-OF-THE-YUKON-WOUNDED-MOUSE: Sergeant Preston Of The Yukon Wounded Mouse.|Old TV western episode. Yukon stuff.
SESAME-SONGS-HOME-VIDEO-DANCE-ALONG: Sesame Songs Home Video Dance Along.|Dance with Sesame Street characters.
SESAME-STREET-A-GOLDEN-BOOK-VIDEO: Sesame Street A Golden Book Video.|Sesame Street. Timeless.
SHADOW-HUNTER: Shadow Hunter.|Never heard of it. Sounds moody.
SHAMUS: Shamus.|Burt Reynolds as a private eye. Very seventies.
SHARE-THE-WORLD-EVERYONE-MATTERS: Share The World Everyone Matters.|Educational. Good message.
SHARK-STARRING-BURT-REYNOLDS: Shark Starring Burt Reynolds.|Burt Reynolds underwater. Early career.
SHERI-LEWIS-LAMB-CHOPS-PLAY-ALONG-ACTION-SONGS: Sheri Lewis Lamb Chops Play Along Action Songs.|Lamb Chop. Classic puppet act.
SHERLOCK-HOLMES-FRENCH-CARTOON: Sherlock Holmes French Cartoon.|French animated Sherlock. Pretty charming.
SHERLOCK-HOUND-DISAPPEARANCE-OF-THE-ROYAL-HORSE: Sherlock Hound Disappearance Of The Royal Horse.|Miyazaki directed some of these. Animal Sherlock.
SHINING-TIME-STATION-STACY-CLEANS-UP: Shining Time Station Stacy Cleans Up.|Thomas the Tank Engine attached to a live action show.
SHINING-TIME-STATION-THE-JUKE-BOX-PUPPET-BAND: Shining Time Station The Juke Box Puppet Band.|Ringo Starr hosted some episodes. Not kidding.
SHORT-WAVE: Short Wave.|Thriller. Radio stuff. Cold War era probably.
SIDEKICKS: Sidekicks.|Chuck Norris and a kid. He teaches the kid to fight. Chuck Norris things.
SIESTA: Siesta.|Ellen Barkin. Mystery thriller. Strange film.
SLEDGE-HAMMER-HAMMERED-THE-BEST-OF-SLEDGE: Sledge Hammer Hammered The Best Of Sledge.|Great show. Trust me, I know what I'm doing.
SLEEPING-BEAUTY: Sleeping Beauty.|Classic Disney. Pure.
SLOANE: Sloane.|Action hero named Sloane. Gets the job done.
SMARKUS-AND-COMPANY: Smarkus And Company.|Never heard of that one.
SNO-LINE: Sno Line.|Ski movie with drug subplot. Very eighties.
SNOW-WHITE-INTERGLOBAL-HOME-VIDEO: Snow White Interglobal Home Video.|The knockoff Snow White. Looks similar at a glance.
SOLARWARRIORS: Solarwarriors.|Richard Jordan. Post-apocalypse with rollerblades. And Jason Patric.
SOLDIER-WARRIORS: Soldier Warriors.|Action stuff. Never heard of it.
SON-OF-GODZILLA: Son Of Godzilla.|Baby Godzilla shows up. Minya. Divisive.
SONIC-THE-HEDGEHOG-SONIC-RACER: Sonic The Hedgehog Sonic Racer.|Sonic races. Kids love this.
SPEED-RACER-CAR-WITH-A-BRAIN: Speed Racer Car With A Brain.|The car has a brain. That's a feature not a bug.
SPIDER-MAN-AND-HIS-AMAZING-FRIENDS-SPIDEY-GOES-HOLLYWOOD: Spider Man And His Amazing Friends Spidey Goes Hollywood.|Spidey goes to Hollywood. With Iceman and Firestar.
SPIDER-WOMAN: Spider Woman.|Old Marvel Animation. Very weird.
SPOT-GOES-TO-THE-FARM: Spot Goes To The Farm.|Spot the dog. Farm visit. For toddlers.
STACEY: Stacey.|Never heard of that one.
STAN-LEES-MUTANTS-MONSTERS-AND-MARVELS: Stan Lees Mutants Monsters And Marvels.|Stan Lee interview tape. The man could talk.
STAR-TREK-THE-ANIMATED-SERIES-YESTERYEAR-AND-BEYOND-THE-FARTHEST-STAR: Star Trek The Animated Series Yesteryear And Beyond The Farthest Star.|Good animated Trek. More character work than you'd expect.
STARCHASER-THE-LEGEND-OF-ORIN: Starchaser The Legend Of Orin.|Animated space fantasy. Star Wars adjacent. Shot in 3D even.
STARCROSSED: Starcrossed.|Sci-fi romance. TV movie.
STATUTORY-AFFAIR-CHARLES-BRONSON-SUSAN-GEORGE: Statutory Affair Charles Bronson Susan George.|Bronson drama. Not his usual thing.
STEEL-DAWN: Steel Dawn.|Patrick Swayze in the desert. Post-apocalypse. Swayze commits.
STEEL-DAWN-PATRICK-SWAYZE: Steel Dawn Patrick Swayze.|Same tape. Swayze's name on the cover.
STEEL-JUSTICE: Steel Justice.|A robot dinosaur. Dispensing justice. Yes.
STINGRAY: Stingray.|The TV show or the eighties film. Either way pretty good.
STREET-ANGELS: Street Angels.|Never heard of it.
STREET-FIGHTER-2-ANIMATED: Street Fighter 2 Animated.|The anime. Better than the Van Damme movie.
STREET-FIGHTER-GAME-SIMULATION-VIDEO-CAPCOM: Street Fighter Game Simulation Video Capcom.|Capcom's own Street Fighter video. Promotional.
STREET-LAW: Street Law.|Franco Nero takes the law into his own hands. Classic.
STREET-LAW-FRANCO-NERO-BARBARA-BACH: Street Law Franco Nero Barbara Bach.|Franco Nero and Barbara Bach. Solid Italian crime.
STREET-SHARKS-SHARK-N-ROLL: Street Sharks Shark N Roll.|Street Sharks. Jawesome.
STRIKE+COMMANDO: Strike+Commando.|Bruno Mattei Vietnam action. Pretty wild.
STRIKE+COMMANDO+2: Strike+Commando+2.|Brent Huff takes over. Even wilder.
STRONG-KIDS-SAFE-KIDS-A-FAMILY-GUIDE: Strong Kids Safe Kids A Family Guide.|Child safety. Hosted by Henry Winkler I think.
SUBURBAN-COMMANDO: Suburban Commando.|Hulk Hogan is an alien in suburbia. Pure cinema.
SUDDEN-DEATH: Sudden Death.|Van Damme in a hockey arena. Fights a cook. Great sequence.
SUMMERDOG: Summerdog.|Dog movie. Summer. Wholesome.
SUPER-DRAGONS-AND-MAFIA-VS-NINJA: Super Dragons And Mafia Vs Ninja.|Mafia versus ninjas. The classic conflict.
SUPER-DRAGONS-DYNAMO: Super Dragons Dynamo.|Superhero stuff. Low budget.
SUPERBOY-SUPER-POWERS-COLLECTION: Superboy Super Powers Collection.|Old Superboy cartoon. Very old school.
SUPERMAN-THE-MOVIE: Superman The Movie.|Richard Donner. You will believe a man can fly. Still the best.
SURF-NAZIS-MUST-DIE-MEDIA-HOME-ENTERTAINMENT: Surf Nazis Must Die Media Home Entertainment.|Troma. What more do you need.
SWAMP-DIAMONDS: Swamp Diamonds.|Roger Corman. Women in a swamp. Looking for diamonds.
SWEET-REVENGE: Sweet Revenge.|Never heard of it.
Tales-From-The-Cryptkeeper-VHS-While-The-Cats-Away: Tales From The Cryptkeeper Vhs While The Cats Away.|Animated Cryptkeeper. Toned down.
TALES-FROM-THE-CRYPTKEEPER-GORILLAS-PAW: Tales From The Cryptkeeper Gorillas Paw.|Gorilla hand episode. Spooky for kids.
TALESPIN-TRUE-BALOO: Talespin True Baloo.|Baloo episode. Good character.
TALL-TALE: Tall Tale.|Patrick Swayze as Pecos Bill. Earnest American folklore film.
TARZAN-AND-HIS-MATE: Tarzan And His Mate.|Classic thirties Tarzan. Best of the series.
TC-2000: Tc 2000.|Billy Blanks. Bolo Yeung. Post-apocalypse. Sure.
TEALEAF: Tealeaf.|Never heard of that one.
Teenage-Mutant-Ninja-Turtles-Coming-Out-Of-Our-Shells-Tour: Teenage Mutant Ninja Turtles Coming Out Of Our Shells Tour.|The concert tour. Pizza Power. It happened.
TEENAGE-MUTANT-NINJA-TURTLES-2-THE-SECRET-OF-THE-OOZE: Teenage Mutant Ninja Turtles 2 The Secret Of The Ooze.|Vanilla Ice is in this. That's really in there.
TEENAGE-MUTANT-NINJA-TURTLES-APRIL-FOOLISH: Teenage Mutant Ninja Turtles April Foolish.|April O'Neil episode. She deserved more.
TEENAGE-MUTANT-NINJA-TURTLES-HEROES-IN-A-HALFSHELL: Teenage Mutant Ninja Turtles Heroes In A Halfshell.|Classic TMNT episode comp.
TEENAGE-MUTANT-NINJA-TURTLES-SKY-TURTLES-BURKING-KING-KIDS-CLUB: Teenage Mutant Ninja Turtles Sky Turtles Burking King Kids Club.|Burger King promo. Turtles fly.
TEENAGE-MUTANT-NINJA-TURTLES-THE-EPIC-BEGINS: Teenage Mutant Ninja Turtles The Epic Begins.|The pilot. Where it all started.
TEENAGE-MUTANT-NINJA-TURTLES-THE-GREAT-BOLDINI-BURGER-KING-KIDS-CLUB: Teenage Mutant Ninja Turtles The Great Boldini Burger King Kids Club.|Another BK promo. Magic themed.
TEENAGE-MUTANT-NINJA-TURTLES-WAYS-OF-THE-WARRIOR-RETURN-OF-THE-ULTIMATE-NINJA: Teenage Mutant Ninja Turtles Ways Of The Warrior Return Of The Ultimate Ninja.|Good episode. Ninja fight.
TELETUBBIES-AND-THE-SNOW: Teletubbies And The Snow.|Teletubbies in snow. For very small children.
TELL-ME-A-STORY-WITH-CHUCK-LARKIN: Tell Me A Story With Chuck Larkin.|Story time with Chuck Larkin.
TELLING-TIME-WATCH-N-LEARN: Telling Time Watch N Learn.|Kids learn to tell time.
TERMINAL-ENTRY: Terminal Entry.|Cold War action. Computer kids help terrorists accidentally.
TERMINAL-FORCE: Terminal Force.|Gary Daniels. Terminal situation. Force required.
TERROR-IN-ROMA: Terror In Roma.|Italian crime horror. Rome setting.
TEX-EN-DE-HEERSER-OVER-DE-ABYSSES: Tex En De Heerser Over De Abysses.|Dutch comic adaptation. Tex Willer.
THAT-DARN-CAT: That Darn Cat.|Hayley Mills. The Disney cat caper. Classic.
THAT-WAS-THEN-THIS-IS-NOW: That Was Then This Is Now.|SE Hinton. Emilio Estevez. Very earnest.
THE+NEW+GODFATHERS: The+New+Godfathers.|Italian crime. New Godfather vibes.
THE-5TH-DAY-OF-PEACE-VIDEO-GEMS-THE-MOST-BIZARRE-EXECUTION-IN-THE-ANNALS-OF-HISTORY: The 5Th Day Of Peace Video Gems The Most Bizarre Execution In The Annals Of History.|Heavy WWII drama. Serious film.
THE-ADAMS-FAMILY-THE-RELUCTANT-ASTRONAUTS-AND-TRIP-TO-THE-MOON: The Adams Family The Reluctant Astronauts And Trip To The Moon.|Old Addams Family animated. Space episode.
THE-ADVENTURES-OF-CAPTAIN-MARVEL: The Adventures Of Captain Marvel.|Old serial. Twelve chapters. Real superhero stuff.
THE-ADVENTURES-OF-MARK-TWAIN: The Adventures Of Mark Twain.|Claymation. Will Vinton. Deeply weird. Genuinely great.
THE-ADVENTURES-OF-PEER-GYNT: The Adventures Of Peer Gynt.|Norwegian fairy tale. Educational kind of thing.
THE-ADVENTURES-OF-PINOCCHIO: The Adventures Of Pinocchio.|Animated Pinocchio. Not the Disney one.
THE-ADVENTURES-OF-SUPERMAN-THE-MAN-OF-STEEL-FUNTOON-CLASSICS: The Adventures Of Superman The Man Of Steel Funtoon Classics.|Old Superman cartoons.
THE-ADVENTURES-OF-THE-WILDERNESS-FAMILY: The Adventures Of The Wilderness Family.|Family survives in the wilderness. Earnest seventies stuff.
THE-ADVENTURES-OF-TIMMY-THE-TOOTH-BIG-MOUTH-GULCH: The Adventures Of Timmy The Tooth Big Mouth Gulch.|Timmy the Tooth. Dental hygiene as adventure.
THE-AGONY-AND-THE-ECSTASY: The Agony And The Ecstasy.|Charlton Heston as Michelangelo. Rex Harrison as the Pope. Epic.
THE-AMAZING-BOOK: The Amazing Book.|Animated Bible stories. Christian kids tape.
THE-AMAZING-MR-NO-LEGS: The Amazing Mr No Legs.|Wheelchair-bound crime lord. Exploitation stuff.
THE-ANDERSON-PLATOON: The Anderson Platoon.|Oscar-winning Vietnam documentary. The real thing.
THE-ANNIHILATORS: The Annihilators.|Veterans versus gangs. Very eighties urban action.
THE-ARK-OF-THE-SUN-GOD: The Ark Of The Sun God.|Italian Indiana Jones knockoff. David Warbeck.
THE-ASSIGNMENT: The Assignment.|Aidan Quinn as Carlos the Jackal. Decent thriller.
THE-BARBARIANS: The Barbarians.|Twins versus a warlord. Sword and sandal.
THE-BEAT: The Beat.|Street gang drama. New York. Eighties.
THE-BERENSTAIN-BEARS-NO-GIRLS-ALLOWED: The Berenstain Bears No Girls Allowed.|The Bears learn about inclusion. Teachable moment.
THE-BERENSTAIN0BEARS-CHRISTMAS-TREE: The Berenstain0Bears Christmas Tree.|Bears get a Christmas tree. Wholesome.
THE-BERERNSTAIN-BEARS-AND-THE-MESSY-ROOM: The Berernstain Bears And The Messy Room.|Messy room. Parents unhappy. Lesson learned.
THE-BIG-PUSH: The Big Push.|WWII comedy. British.
THE-BIGGEST-EVER-PRE-SCHOOL-VIDEO: The Biggest Ever Pre School Video.|Big video. Pre-school content.
THE-BLACK-SIX: The Black Six.|Blaxploitation biker film. Six Black Vietnam vets. Motorcycle revenge.
THE-BLADE-MASTER: The Blade Master.|Miles O'Keeffe. Master of blades.
THE-BLAZING-NINJA-VIDEO-TREASURES: The Blazing Ninja Video Treasures.|Ninja comp tape. Multiple films probably.
THE-BLOOD-OF-HEROES: The Blood Of Heroes.|Rutger Hauer plays a future sport. Gritty. Very good.
THE-BOY-WHO-CRIED-WOLF-PLUS-THE-EMPERORS-NEW-CLOTHES: The Boy Who Cried Wolf Plus The Emperors New Clothes.|Two fables. Double feature.
THE-BRAVE-TIN-SOLDIER-AND-OTHER-CARTOON-CLASSICS: The Brave Tin Soldier And Other Cartoon Classics.|Classic fairy tale cartoons.
THE-BROTHER: The Brother.|Never heard of it.
THE-BROTHERHOOD-OF-DEATH: The Brotherhood Of Death.|Blaxploitation. Vietnam vets versus the Klan.
THE-BUGS-BUNNY-ROAD-RUNNER-MOVIE: The Bugs Bunny Road Runner Movie.|Classic compilation. Great intro to the Looney Tunes.
THE-CALIFORNIA-RAISINS-2-RAISINS-SOLD-OUT: The California Raisins 2 Raisins Sold Out.|The raisins go on tour.
The-California-Raisins-Meet-The-Raisins: The California Raisins Meet The Raisins.|The behind-the-scenes special. California Raisins documentary.
